id;brand;model;first_reg;fuel;mileage_km;seller_type;swift;price;power_hp
262;mercedes-benz;glk 200;11-2010;d;280000;p;Manual;9500;143
263;mercedes-benz;ml 350;01-2010;d;200000;p;Manual;12000;224
264;mercedes-benz;glk 220;10-2010;d;180000;p;Manual;10500;170
265;mercedes-benz;ml 350;06-2010;d;196000;p;Automatic;15000;211
266;mercedes-benz;ml 500;07-2010;b;184600;d;Automatic;17200;387
267;mercedes-benz;a 160;01-2010;b;212000;p;Manual;3500;95
268;mercedes-benz;b 180;04-2010;b;89700;d;Manual;9890;116
269;mercedes-benz;b 160;11-2010;b;149000;d;Manual;7500;95
270;mercedes-benz;a 180;10-2010;d;85000;d;Manual;6690;109
271;mercedes-benz;b 180;04-2010;d;183500;d;Automatic;6490;109
272;mercedes-benz;viano;05-2010;d;262000;p;Automatic;12500;204
273;mercedes-benz;a 160;07-2010;d;193000;p;Manual;6900;82
274;mercedes-benz;b 180;11-2010;d;195000;d;Automatic;5900;109
275;mercedes-benz;b 180;01-2010;b;137000;d;Manual;7500;116
276;mercedes-benz;b 160;04-2010;b;59000;d;Manual;9890;95
277;mercedes-benz;b 200;03-2010;b;235000;p;Manual;5900;136
278;mercedes-benz;a 160;06-2010;b;60000;p;Manual;5500;95
279;mercedes-benz;a 180;11-2010;d;199000;p;Manual;5000;109
280;mercedes-benz;a 160;05-2010;d;126000;p;Automatic;5900;82
281;mercedes-benz;a 160;11-2010;l;146000;p;Manual;6400;95
282;mercedes-benz;b 180;05-2010;b;187890;d;Manual;5890;116
283;mercedes-benz;a 200;07-2010;d;220000;p;Manual;5000;140
284;mercedes-benz;viano;06-2010;d;300000;p;Automatic;9650;190
285;mercedes-benz;a 160;02-2010;b;145000;p;Manual;6000;102
286;mercedes-benz;b 180;12-2010;c;300000;p;Manual;3900;116
287;mercedes-benz;a 160;05-2010;l;140000;p;Manual;4200;95
288;mercedes-benz;a 160;03-2010;b;116000;p;Automatic;6900;95
289;mercedes-benz;a 160;11-2010;b;161450;p;Manual;5900;95
290;mercedes-benz;a 160;03-2010;b;140000;p;Automatic;5500;95
291;mercedes-benz;b 160;02-2010;b;111000;d;Manual;8700;95
292;mercedes-benz;a 160;05-2010;b;134900;d;Manual;6290;95
293;mercedes-benz;viano;11-2010;d;483000;d;Manual;10990;150
294;mercedes-benz;b 180;03-2010;d;74351;d;Manual;5800;109
295;mercedes-benz;a 200;07-2010;d;149000;d;Automatic;6400;140
296;mercedes-benz;a 160;08-2010;b;118000;p;Manual;6900;95
297;mercedes-benz;b 180;05-2010;b;101620;d;Manual;8400;116
298;mercedes-benz;a 180;04-2010;d;177000;d;Manual;3500;109
299;mercedes-benz;a 180;08-2010;d;223000;p;Manual;4000;109
300;mercedes-benz;b 200;05-2010;d;198000;d;Automatic;6600;109
301;mercedes-benz;a 160;09-2010;b;87000;d;Automatic;8950;95
302;mercedes-benz;a 160;07-2010;b;188000;p;Manual;2900;95
303;mercedes-benz;a 160;06-2010;b;135000;p;Manual;5800;95
304;mercedes-benz;b 180;03-2010;d;142000;p;Manual;8000;109
305;mercedes-benz;b 180;03-2010;d;142000;p;Manual;8000;109
306;mercedes-benz;a 180;06-2010;d;106000;p;Manual;6500;109
307;mercedes-benz;b 180;11-2010;d;144000;p;Manual;6500;109
308;mercedes-benz;b 200;01-2010;d;219000;d;Automatic;5300;140
309;mercedes-benz;b 180;12-2010;d;190000;p;Manual;5000;109
310;mercedes-benz;a 150;01-2010;b;140000;p;Manual;5500;95
311;mercedes-benz;b 200;07-2010;d;197000;d;Manual;5500;140
312;mercedes-benz;a 160;10-2010;b;99000;d;Manual;7400;95
313;mercedes-benz;b 180;03-2010;d;111000;d;Automatic;6900;109
314;mercedes-benz;170;11-2010;b;29600;p;Automatic;9500;75
315;mercedes-benz;b 180;03-2010;d;170800;d;Manual;6700;109
316;mercedes-benz;a 180;03-2010;d;164405;d;Manual;7700;109
317;mercedes-benz;b 180;05-2010;d;83000;p;Manual;8000;109
318;mercedes-benz;b 200;10-2010;d;160000;p;Manual;6500;140
319;mercedes-benz;b 180;06-2010;c;248000;p;Manual;3800;116
320;mercedes-benz;b 180;06-2010;c;166000;p;Manual;6900;116
321;mercedes-benz;a 150;06-2010;b;160000;p;Manual;2900;95
322;mercedes-benz;a 160;07-2010;b;170000;d;Manual;5500;95
323;mercedes-benz;a 160;06-2010;b;127000;p;Manual;5000;95
324;mercedes-benz;a 160;04-2010;b;102000;d;Manual;6500;95
325;mercedes-benz;b 180;03-2010;d;182000;d;Manual;5900;109
326;mercedes-benz;a 150;02-2010;b;163000;p;Manual;5200;95
327;mercedes-benz;b 200;09-2010;d;158000;d;Manual;6500;140
328;mercedes-benz;a 160;04-2010;c;194000;p;Automatic;3500;95
329;mercedes-benz;b 180;06-2010;d;160000;d;Automatic;6300;109
330;mercedes-benz;180;07-2010;d;190000;p;Automatic;5800;109
331;mercedes-benz;b 200;12-2010;d;250000;p;Automatic;4500;140
332;mercedes-benz;b 180;04-2010;d;215000;p;Manual;3000;109
333;mercedes-benz;a 180;01-2010;d;145000;p;Automatic;4400;109
334;mercedes-benz;a 160;03-2010;b;106000;d;Manual;8500;95
335;mercedes-benz;b 180;06-2010;d;340000;p;Manual;4000;109
336;mercedes-benz;a 160;05-2010;b;150000;p;Manual;6200;95
337;mercedes-benz;b 180;03-2010;d;122000;p;Manual;6500;109
338;mercedes-benz;b 180;10-2010;d;215000;d;Manual;4900;109
339;mercedes-benz;a 180;01-2010;d;186686;p;Automatic;5700;109
340;mercedes-benz;b 180;09-2010;d;262000;p;Manual;8000;109
341;mercedes-benz;a 180;04-2010;d;135000;p;Manual;8000;109
342;mercedes-benz;a 160;10-2010;b;162000;p;Manual;4000;95
343;mercedes-benz;a 160;11-2010;b;135850;p;Automatic;6499;95
344;mercedes-benz;b 180;10-2010;d;113700;p;Manual;8000;109
345;mercedes-benz;a 180;03-2010;d;161000;p;Automatic;6200;109
346;mercedes-benz;a 160;04-2010;c;195000;p;Automatic;3500;95
347;mercedes-benz;a 160;01-2010;b;90302;d;Manual;5900;95
348;mercedes-benz;a 160;03-2010;b;239000;d;Automatic;4990;95
349;mercedes-benz;b 180;02-2010;d;173000;d;Automatic;7800;109
350;mercedes-benz;a 160;01-2010;b;160000;d;Manual;5500;95
351;mercedes-benz;b 180;11-2010;b;129000;p;Manual;6290;116
352;mercedes-benz;b 180;03-2010;b;49000;d;Automatic;12300;116
353;mercedes-benz;a 180;12-2010;d;137220;p;Manual;5800;109
354;mercedes-benz;a 160;07-2010;b;148800;p;Manual;5000;95
355;mercedes-benz;b 200;02-2010;d;160000;d;Automatic;7500;140
356;mercedes-benz;b 200;12-2010;d;206000;p;Manual;6500;140
357;mercedes-benz;a 160;03-2010;b;174000;d;Manual;3900;95
358;mercedes-benz;a 180;03-2010;d;250000;p;Manual;5900;109
359;mercedes-benz;a 160;01-2010;b;124000;d;Manual;5900;95
360;mercedes-benz;a 160;05-2010;b;169000;p;Manual;5400;95
361;mercedes-benz;viano;12-2010;d;134000;d;Automatic;19500;204
362;mercedes-benz;a 180;01-2010;d;280;d;Manual;3999;109
363;mercedes-benz;b 200;06-2010;d;167000;p;Automatic;6000;140
364;mercedes-benz;a 150;03-2010;b;163000;p;Manual;4500;95
365;mercedes-benz;a 180;06-2010;b;103279;d;Manual;6800;116
366;mercedes-benz;a 180;07-2010;d;210000;p;Manual;5700;109
367;mercedes-benz;b 180;05-2010;d;217017;d;Manual;7490;109
368;mercedes-benz;a 160;02-2010;b;229000;d;Manual;3600;95
369;mercedes-benz;a 160;01-2010;b;94411;d;Manual;5500;95
370;mercedes-benz;a 180;11-2010;b;79000;p;Manual;7000;116
371;mercedes-benz;b 200;10-2010;d;167000;p;Automatic;6000;140
372;mercedes-benz;b 200;02-2010;d;138000;d;Manual;6300;140
373;mercedes-benz;b 180;03-2010;d;250000;d;Automatic;5990;109
374;mercedes-benz;b 200;03-2010;d;230000;p;Manual;3750;109
375;mercedes-benz;r 350;10-2010;d;218000;d;Automatic;16800;211
376;mercedes-benz;b 180;03-2010;c;446320;d;Manual;3500;116
377;mercedes-benz;b 180;04-2010;d;150000;d;Manual;8400;110
378;mercedes-benz;a 180;12-2010;d;160000;p;Manual;4900;109
379;mercedes-benz;a 160;09-2010;b;175000;p;Manual;5000;95
380;mercedes-benz;a 160;12-2010;b;139000;d;Manual;6900;95
381;mercedes-benz;a 160;02-2010;b;82000;p;Manual;6500;95
382;mercedes-benz;a 180;05-2010;d;290050;d;Manual;4400;109
383;mercedes-benz;b 180;04-2010;d;158766;d;Manual;7900;109
384;mercedes-benz;a 160;02-2010;d;120000;d;Manual;5900;82
385;mercedes-benz;b 180;04-2010;d;120000;d;Manual;7999;109
386;mercedes-benz;b 160;10-2010;b;130000;p;Manual;7500;95
387;mercedes-benz;vito;11-2010;d;950000;p;Manual;13000;150
388;mercedes-benz;c 200;10-2010;d;232000;p;Manual;6500;150
389;mercedes-benz;a 180;12-2010;d;133150;d;Automatic;6400;109
